Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359769aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359771aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359772aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359773aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359775aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359776aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359778aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359779aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359780aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359781aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359783aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359784aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359785aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359786aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359787aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359788aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359789aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359790aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359791aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359795aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359796aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359797aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359798aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359802aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359803aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359804aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359809aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/sQC1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/sQC2_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/sQC3_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/sQC4_MWY-24-5969-02-b_human_DIA_Astral_2.mzML
Q8NB91	Q8NB91;A0A8Q3SIN2;A0A8Q3SJA8;A0A8Q3WL55;A0A8Q3WL66;A0A8Q3WLR5;C9J5X9	FANCB_HUMAN	FANCB	Fanconi anemia group B protein	NA	NA	NA	NA	4427.03	NA	11948	11293.8	NA	5618.98	NA	13157.3	5262.79	NA	13792.4	NA	10112.6	NA	9241.98	8404.94	NA	NA	9952.56	NA	NA	NA	9983.57	NA	40270.7	NA	39692.1
Q8NBA8	Q8NBA8;D6REE2	DTWD2_HUMAN	DTWD2	tRNA-uridine aminocarboxypropyltransferase 2	10339.5	14818.8	19597.3	15289.5	17761.8	9549.73	13917.4	15115.6	5258.4	10632.1	9864.15	13205.3	12624.3	11449.6	6273.87	17913.1	14339.8	15910	9815.07	16698.4	12174.3	15555.2	15115.4	8085.82	12300.7	9867.21	14902.7	12271.2	14673	14357.6	22614
Q8NBF2	Q8NBF2	NHLC2_HUMAN	NHLRC2	NHL repeat-containing protein 2	81476.5	105332	114279	71446.4	113067	137179	91624.2	88458.9	187414	83491.4	119023	113821	109956	105503	92178.2	103271	113753	102313	102315	87902.4	82788.2	105011	105460	95088	69867.3	103127	100833	130701	126488	121498	120745
Q8NBF6	Q8NBF6;B8ZZW5	AVL9_HUMAN	AVL9	Late secretory pathway protein AVL9 homolog	121759	106511	90158.2	66052	88593.3	44336.8	88671.8	87586.6	28277.2	118593	52119.3	91749.8	89084.8	90853.1	99996.3	86138.3	98167.5	102970	69489.7	122236	81785.2	73321.7	115963	53695.1	77638.7	90181.7	91652.1	87926.1	80700.5	85471.3	81709.9
Q8NBI5	Q8NBI5;E9PS74	S43A3_HUMAN	SLC43A3	Equilibrative nucleobase transporter 1	11760.8	9878.18	9962.15	26179	6515.92	18079.6	11123.1	18536.2	8550.77	12580.5	15436.2	10823	6732.65	13468	7638.55	21226.2	7127.52	6688.96	5747.61	10793.2	10169.5	28929.1	13405.1	10027.5	8752.56	8462.42	9235.65	13154.4	15193.1	12169.9	7207.52
Q8NBI6	Q8NBI6	XXLT1_HUMAN	XXYLT1	Xyloside xylosyltransferase 1	13315.4	13517.7	5687.6	22207.7	10932.8	25380.5	16262.1	19047.5	14908.2	14000.4	16069.3	7904.75	15860.2	13781.2	11989.5	9933.32	10590.7	7328.62	16269.2	13909.8	15062.5	10081	13220.5	18946.8	8413.94	9230.91	20235.8	14321.5	14997.7	15421.5	14499
Q8NBJ4	Q8NBJ4	GOLM1_HUMAN	GOLM1	Golgi membrane protein 1	61582.8	177658	246380	127371	120520	52008	172359	126144	28014.9	165604	74056.4	291020	89769.4	202405	116291	205850	145463	346399	53106.6	163719	183671	217108	410506	174684	298813	295061	172768	154950	162404	175953	183816
Q8NBJ5	Q8NBJ5;M0QX72;A0A8I5QKL8;A0A8I5QL08	GT251_HUMAN	COLGALT1	Procollagen galactosyltransferase 1	260855	161140	120225	342794	218074	248855	239120	253593	145737	218796	238844	180990	228496	223311	150806	137262	196744	147346	248211	238101	276175	198218	174868	237015	196561	205706	227457	199537	200468	203432	203401
Q8NBJ7	Q8NBJ7;A0A494C1B1;A8MXB9;C9J660;C9JL30;F8WA42;H7C3B2;J3KQJ1	SUMF2_HUMAN	SUMF2	Inactive C-alpha-formylglycine-generating enzyme 2	238625	242969	212719	177456	248621	174099	294838	229784	116530	240839	231883	292571	166185	233334	322480	238079	206389	244747	202035	225750	300529	244411	253063	163863	223088	293679	198863	250650	259631	265022	257354
Q8NBJ9	Q8NBJ9;C9JBG5;E9PME7;E9PPN9;F5H8L4	SIDT2_HUMAN	SIDT2	SID1 transmembrane family member 2	20857.4	25178	17411.8	24973.8	22302.3	24263.9	22902.8	22610.7	16037.6	26054.2	19987.8	20441.1	18319.8	24290	11669.5	23603.1	20838.1	21411.1	18151	16581.1	21467.7	25376.3	35999.1	20515.4	22895.3	23159.6	23395.2	22127.7	21975.4	21535.1	25252.3
Q8NBK3	Q8NBK3;F5GXA0	SUMF1_HUMAN	SUMF1	Formylglycine-generating enzyme	41494.9	27666.7	22309.2	55467.4	64144.8	50285.6	65012.4	38474.5	24360.5	73315.9	43907.7	28981.4	39299.8	39978.3	62175.9	41386.5	59833.2	29670.3	37677.5	36683.7	48877.2	53524	41673.9	34822.8	41217.9	41459.6	52676.4	40142.3	49868.2	46005.3	40514.6
Q8NBL1	Q8NBL1;B4DVA9;F8WEW4;H7C5H0	PGLT1_HUMAN	POGLUT1	Protein O-glucosyltransferase 1	57398.9	49572.8	45441.4	63127	55893.2	51005.1	43428	48721.2	36897.9	51293.5	57733.9	52150.4	50109.6	54963.3	36844.1	39789.1	43041.2	44087.8	35570.6	48445.7	43775.8	52778.6	41673.9	31617.4	55193.7	44202.6	48546.9	42022.7	46725.4	45170.6	44609
Q8NBM4	Q8NBM4	UBAC2_HUMAN	UBAC2	Ubiquitin-associated domain-containing protein 2	86249.1	63944.9	62273.6	60908.1	50772	39969.2	40279.5	55373.1	43532.3	60168.1	27982	39975.6	61706.7	58200.2	81893.7	37867.5	62884.2	42456.2	98116.7	77821.6	56423.5	37523.6	41038	61911.4	75106.8	46146.3	62346.1	55019.1	66274.1	58777.8	57237.3
Q8NBM8	Q8NBM8;D6R9J0	PCYXL_HUMAN	PCYOX1L	Prenylcysteine oxidase-like	35584.6	54524.8	21614.7	41110.5	28900.5	66931.4	26196.4	39653.8	50703.6	22697	47962.1	25763	22609.2	37080.9	34707.1	24363.6	28481	28679.9	38538.1	32793.5	35788.6	35664.5	38992.4	26395.2	32681.1	30551.8	26384.3	33746.8	37478.8	39503.5	33756.6
Q8NBN3	Q8NBN3;A0A994J4W5;A0A994J7M5;H3BTS6	TM87A_HUMAN	TMEM87A	Transmembrane protein 87A	124412	130793	230498	98745.6	117844	78364.4	139800	118439	43664	91165.1	101239	153634	176553	164012	94428.8	159871	165842	157673	75737.1	98632.5	130384	121768	174605	81679	125194	144293	101130	106961	102051	106026	109642
Q8NBN7	Q8NBN7;G8JLA1;K7EQB5;K7ERV1	RDH13_HUMAN	RDH13	Retinol dehydrogenase 13	92187.6	116867	216886	99623.5	66217.7	95456.3	104488	84631.8	53791.3	140507	119318	122768	175819	132041	98878.4	152348	102217	157425	73748.3	126014	113592	113069	149308	97979.2	127039	173213	143898	121147	115714	109279	116339
Q8NBP0	Q8NBP0	TTC13_HUMAN	TTC13	Tetratricopeptide repeat protein 13	18391.6	17051.7	20551.5	21430.8	22693.5	17363.7	17639.3	13506.3	4202.66	21264.6	14431.3	14933.2	23873.2	17247.5	19643.9	20646.6	20123.7	16742.8	21840.6	17357.4	19208.4	18588.8	22400.5	9888.77	17998	18744.2	18092.6	18665.6	16372.2	16170.5	14378.7
Q8NBP7	Q8NBP7;A0AA34QVH0;A0A669KB81;A0A669KBG0	PCSK9_HUMAN	PCSK9	Proprotein convertase subtilisin/kexin type 9	9145.18	2889.83	6583.95	12488.4	22650.5	47346.5	18962.4	6131.23	6937.74	9129.58	11247.7	5186.19	7631.77	NA	9341.18	10273.2	14277.4	7272.91	27696.6	5834.73	7694.23	4496.33	3063.76	31336.2	12763.5	5728.35	14107.1	11618.1	10666.9	12229.8	16501.4
Q8NBQ5	Q8NBQ5;D6RCD0	DHB11_HUMAN	HSD17B11	Estradiol 17-beta-dehydrogenase 11	221935	438342	308981	242921	228214	238081	293315	325388	228358	286576	309023	464827	248590	461711	409473	485198	233499	406754	446853	352519	332198	291448	589147	134400	335925	344352	264258	321683	326046	330226	322901
Q8NBR6	Q8NBR6;H0YM15;J3KNL7	MINY2_HUMAN	MINDY2	Ubiquitin carboxyl-terminal hydrolase MINDY-2	9349.36	11512.4	5779.49	14667.5	7661.46	12656.1	7151.26	6494.09	11284.3	3352.36	13595.2	10845.6	4598.69	5373.65	6518.91	8295.22	5606.93	3988.49	3372.71	4592.12	9358.52	7971.69	14469.2	4668.02	7587.27	6685.67	5735.93	11388.8	8009.01	8196	6496.27
Q8NBS3	Q8NBS3;A0A2R8Y4A6;A0A2R8Y7S1;A0A2R8YFD9;V9GYK6	S4A11_HUMAN	SLC4A11	Solute carrier family 4 member 11	25604.1	NA	43291.6	NA	13224.4	NA	27787.6	NA	9979.71	NA	NA	4511.62	NA	21309.7	NA	20378.5	29156.8	19648.3	36534.9	35031.8	18796.1	NA	NA	32161.4	14260.7	NA	31179.5	21963.2	18463.9	NA	24841.2
Q8NBS9	Q8NBS9	TXND5_HUMAN	TXNDC5	Thioredoxin domain-containing protein 5	857513	1881800	2862810	1497030	2610970	1561420	3387720	2318290	768048	2938330	2376620	3633030	1077650	2586350	2039560	3218250	2157190	3863290	1490400	2519200	2683990	4656680	2561780	995510	2183040	3788570	2916540	2557150	2572380	2509570	2534060
Q8NBT0	Q8NBT0	POC1A_HUMAN	POC1A	POC1 centriolar protein homolog A	7356.62	NA	9549.51	6965.79	7756.58	2543.36	11189.6	8373.79	NA	9884.14	7152.68	4129.64	13008.2	NA	15822.2	6647.21	11473.3	6044.44	9259.57	9805.66	13150.9	9129.51	6819.12	4846	11813.1	3363.9	11450.1	NA	8233.94	5560.42	7815.61
Q8NBT2	Q8NBT2;K7EJH0;K7EMX1	SPC24_HUMAN	SPC24	Kinetochore protein Spc24	11926.1	6423.76	11365.6	10131.7	25533.2	9538.14	13498.5	16294.2	NA	17603.4	6727.6	9921.08	20275.9	11399	17329.4	11552.7	25548	6145.72	16853.9	19087.1	17598.4	12484.6	8480.15	23949.1	16310	14828.7	22575.5	13669.9	10152.5	18036.1	11678.9
Q8NBU5	Q8NBU5;A0A7P0T9U2;A0A7P0TAM5;A0A7P0T9B4	ATAD1_HUMAN	ATAD1	Outer mitochondrial transmembrane helix translocase	42031.3	166016	207048	116559	142349	139045	117570	135198	112609	97816.7	129530	127443	173495	158740	147746	131082	142301	135316	146702	141627	116506	137786	126135	131399	136757	147374	143986	133973	138013	134636	132757
Q8NBW4	Q8NBW4;D6R9Q7;D6R9X0;E7ESU6	S38A9_HUMAN	SLC38A9	Neutral amino acid transporter 9	5874.94	7234.96	8430.67	10739.6	4901.25	8834.7	5747.9	4721.15	7163.64	6418.97	9965.18	11616.2	4670.8	7401.37	5228.52	3712.05	7357.49	8551.93	4461.67	10391.1	6808.66	4614.34	4673.88	6570.94	7283.26	7862.75	7191.55	5528.16	4702.81	3098.36	12650.7
Q8NBX0	Q8NBX0	SCPDL_HUMAN	SCCPDH	Saccharopine dehydrogenase-like oxidoreductase	430966	356268	423240	341008	307604	291695	286005	233984	273709	153858	321816	361952	305699	295498	309628	227663	167151	347083	306056	197172	265352	260628	275442	200635	295934	257200	239341	286962	319012	316978	291985
Q8NBZ0	Q8NBZ0;I3L0W8;I3L270;I3NI13	IN80E_HUMAN	INO80E	INO80 complex subunit E	9195.15	8814.7	11694.1	9281.69	13226.4	7486.39	11191	11506.4	6130.08	12628.7	8269.8	10025.8	9895.22	10555.5	14606.5	14360.8	15599.2	10053.6	11217.9	10845.1	10781.1	11067.7	13181.2	11168.4	8745.41	6475.31	11443.1	11819.2	10816.5	5755.5	16606.8
Q8NBZ7	Q8NBZ7;C9JCB7;C9JE50	UXS1_HUMAN	UXS1	UDP-glucuronic acid decarboxylase 1	17178.5	15645.2	12598.3	15060	14444.3	15541.5	14576.2	11857.6	7534.41	13097.5	6588.25	11387.4	11890.6	13946.5	11897	14646.7	17068	16791.8	42412.6	16259.7	20445.1	11742.6	17320.3	18928.7	13780	14678.6	30472.5	16242.1	15664.9	11688.2	17501.4
Q8NC42	Q8NC42;F8WCD0	RN149_HUMAN	RNF149	E3 ubiquitin-protein ligase RNF149	13263.8	11215.9	13654.5	31466.1	13429.5	17596.5	19202.4	12324.2	15470.4	14452	10553	9026.12	13976.7	11039.8	15636.9	14372.1	16178.2	12459.3	120586	21202.6	17767.1	15061	9231.59	83992	11181	16031.3	21204.8	15731.7	17065.9	14811.6	19219
Q8NC44	Q8NC44;H7C3D5	RETR2_HUMAN	RETREG2	Reticulophagy regulator 2	5807.52	6810.44	8075.75	6794.75	5715.02	10562.5	6842.06	5361.15	8940.59	3947.29	7766.43	4418.16	6540.63	6735.12	7203.85	4446.54	9789.23	3969.01	3264.32	3926.78	5469.25	4975.16	4205.59	6944.44	7487.47	4960.28	5661.2	6681.45	4480.27	5876.32	7434.9
Q8NC51	Q8NC51	SERB1_HUMAN	SERBP1	SERPINE1 mRNA-binding protein 1	408766	322230	281078	315970	487117	319590	364117	348726	164825	503458	288124	347684	539225	393825	442430	471529	340899	362653	508817	435593	410439	345032	331861	430210	363579	330442	400433	410365	382152	403522	388122
Q8NC54	Q8NC54	KCT2_HUMAN	KCT2	Keratinocyte-associated transmembrane protein 2	6386.85	6339.29	8958.16	10754.8	8184.27	7503.43	6449.7	11525.4	NA	5190.85	NA	4576.88	5594.18	7291.39	6977.77	10141.9	8031.15	3824.25	16065.1	8165.12	14194.1	NA	10403.5	35585.6	5236.37	6405.98	8555.28	4066.35	4972.17	7156.57	NA
Q8NC56	Q8NC56;H7C2Z0	LEMD2_HUMAN	LEMD2	LEM domain-containing protein 2	220533	186847	153531	210254	119881	416286	192677	167256	322962	212760	209744	186131	171304	182979	171253	158883	131884	168584	85948.8	185835	195599	157296	163251	142876	206558	157928	181834	189444	187690	191261	194539
Q8NC60	Q8NC60	NOA1_HUMAN	NOA1	Nitric oxide-associated protein 1	17422.5	20969.5	20704.3	14082.9	18525.5	18465.2	20874.5	18170.2	9179.69	23594	12299.3	19613.9	29209.5	25328.3	23134.1	21695.7	36576.7	20405.2	33093.6	16279.8	14910.4	21716.9	17957.8	10118.2	24680.4	20858.4	22973.9	27266.8	20015.8	23379.4	20488.3
Q8NC69	Q8NC69;F5H7I0	KCTD6_HUMAN	KCTD6	BTB/POZ domain-containing protein KCTD6	NA	3489.26	3306.51	NA	2358.62	5798.57	5763	3308.96	3392.98	NA	4412.06	2205.27	5391.81	3709.96	2729.38	3987.83	4778.81	2917.71	4442.99	3585.31	3528.06	NA	3172.42	30261.3	10696.7	2511.74	5381.84	4927.84	9461.4	7655.67	13586.2
Q8NC74	Q8NC74	RB8NL_HUMAN	RBBP8NL	RBBP8 N-terminal-like protein	9650.24	NA	4660.86	NA	4071.49	3776.03	2111.42	5303.32	NA	4105.94	NA	NA	5302.58	4607.06	8006	3512.62	7432.42	1906.62	5317.96	5046.61	3976.33	2220.25	5421.32	NA	NA	1954.29	4192.15	5642.58	NA	1892.22	4784.12
Q8NC96	Q8NC96;A0A1W2PR09;A0A1W2PRL5;A0A1W2PRM0;F5GYH1;A0A1W2PNT6;A0A1W2PRW5;F5H2U7	NECP1_HUMAN	NECAP1	Adaptin ear-binding coat-associated protein 1	34190.5	50476.5	57821.3	36003.3	46117.9	40741.5	52178.1	43472.3	36007.5	64856.8	41531.3	46249.7	38577.9	53543	46988.5	61933.4	57771.5	66277.1	40525.6	41244.2	43840.2	52541.1	65607.2	55322.7	45573.3	54471.7	39288.5	56427	54626.2	57591	52105.8
Q8NCA5	Q8NCA5;A0A8I5KR56;A0A8I5KZA5;A0A8I5QKV5;B4DT23;E9PH82	FA98A_HUMAN	FAM98A	Protein FAM98A	93705.3	62979.1	65963.8	62862	75795.3	59582.5	66277.9	71818.1	60165.3	64254	81808.5	64931.9	66319.3	65932.8	57135.6	58463.5	57279.8	64559.5	75941.7	75237.7	69116.5	67961.8	54773.8	58428.1	69949.3	55509	72280.1	52198.7	66353.2	59593.9	70297.5
Q8NCC3	H3BMU8;Q8NCC3	PAG15_HUMAN	PLA2G15	Phospholipase A2 group XV	14553.6	16489.4	12041.8	37391.9	13796.7	22474.1	21627.1	19972.6	4932.03	13652.4	28227.4	14599.4	13528.2	13712.6	13272.7	18540.2	22404.1	15478.6	12004.6	16364.6	23253.5	12784.5	14719	14036.9	14219.6	19086.9	17997.2	15904.5	15259.4	15023.3	16181.3
Q8NCD3	Q8NCD3;C9JWC4;H7C3V8	HJURP_HUMAN	HJURP	Holliday junction recognition protein	22117.8	82014.6	21786.8	29487.6	27626.2	NA	47575.7	123873	15167.6	146946	69079.9	39064.8	24977.2	27994.4	97504.3	47077	57926.7	NA	59482.6	21942.3	64751.4	43933.2	96965.2	37275.7	50132.9	NA	54575.1	82274.8	76397.7	78505.4	74412.6
Q8NCE0	Q8NCE0;A0A7P0T841;A0A7P0T8F8;A0A7P0T914;A0A7P0TBE6;A0A7P0Z492;A0A7P0Z4J6;C9J7Z4;H7C2Z3;A0A7P0TA86	SEN2_HUMAN	TSEN2	tRNA-splicing endonuclease subunit Sen2	5631.74	2915.35	4493.32	8864.45	6784.99	2293.53	5822.63	3723.56	4573.05	3911.43	6754.12	2918.9	7833.99	3154.34	5720.5	3700.94	7250.83	3049.23	7695.42	3750.16	5617.47	6400.74	4936.11	5036.54	6635.18	4022.95	8421.31	5509.43	5034.71	4782.15	6473.24
Q8NCE2	Q8NCE2;B4DQK9	MTMRE_HUMAN	MTMR14	Myotubularin-related protein 14	18100.4	23349.8	19142.1	27621.2	21418.7	13705.6	22639.3	19159.6	14081.8	22891.4	18761.7	16717.2	17681.9	19299.8	19678.3	17197.1	22763	19263.9	21502.7	19891.7	21126	22584.9	19554.2	22893.1	24290.6	19071.9	25543.3	22366.7	17472.1	19307.5	20381.2
Q8NCF5	Q8NCF5;H3BSZ7	NF2IP_HUMAN	NFATC2IP	NFATC2-interacting protein	39587.1	38836.5	41089.2	27194.5	52848.1	37186.1	43517.7	43905.4	26517.2	52758.4	24250.4	31855.5	44694.8	50427.2	67786	61206.6	52479.7	53122.2	41236.5	53616.4	47613.7	47901.2	42519.3	52690.4	41767.8	39333.6	41404	45279.1	48745.9	47780.6	46782.2
Q8NCG5	Q8NCG5	CHST4_HUMAN	CHST4	Carbohydrate sulfotransferase 4	21039.2	13008.5	35795.7	NA	6714.03	22272.1	2796.41	10791.8	NA	4607.94	NA	NA	NA	NA	NA	5906.23	NA	NA	NA	NA	NA	10442.4	10260	NA	NA	7179.16	14436	NA	NA	NA	15696.8
Q8NCG7	Q8NCG7;E7ET49	DGLB_HUMAN	DAGLB	Diacylglycerol lipase-beta	51151.3	39300.6	37093.2	38036.5	32783.4	36054	50711.6	38279.8	31753.9	39864.1	40301.9	45772.2	56778.9	37625.7	51302.8	22981.9	34533.6	38376.5	56842	53493.2	43053.7	43935.2	35052	44190.2	34971.7	38469.4	33487.4	45794.1	41521.1	36258.8	39614.3
Q8NCH0	Q8NCH0;H0YN65	CHSTE_HUMAN	CHST14	Carbohydrate sulfotransferase 14	32144.6	21004.3	25228.4	41531.1	25798.4	140918	26942.9	28334.6	52413.6	12108.1	28694.7	18616	17977.5	25373.3	20227.9	20791.6	18207	16881.9	17486.5	19465.6	22058.6	16690.2	19245	22240.9	21111.4	18374.2	15598.4	24609.3	29703.2	30201.5	27348.3
Q8NCJ5	Q8NCJ5;F8VWW7;H0YI85	SPRY3_HUMAN	SPRYD3	SPRY domain-containing protein 3	102903	151322	126280	113218	97454.2	110652	94693.1	117872	106538	98589.1	104258	105739	88451.4	118972	95317.1	108304	115610	115432	60201.3	92966.8	98111.5	109804	91464.1	100766	97918.3	106166	103855	101265	92973.3	121119	124564
Q8NCL4	Q8NCL4;S4R3A9;S4R3S5	GALT6_HUMAN	GALNT6	Polypeptide N-acetylgalactosaminyltransferase 6	96222	50898.1	70392.2	52253.1	58372.5	30901.2	52913.4	40764.3	14319.8	53205.1	20074.5	18304.7	47007.9	37060.4	13174.3	41299.1	49366.3	20161.2	85514.5	48100	43852.2	23694.1	50431.7	34623.1	30468	54186.8	76104.8	39106.9	34057.2	32691.4	32908.4
Q8NCN4	Q8NCN4	RN169_HUMAN	RNF169	E3 ubiquitin-protein ligase RNF169	66867.1	59828.2	68977.5	59561.3	63329.5	63396.8	69331.9	86545.2	82475.6	47935.9	48713.7	66173	71804.2	74613.4	59169.8	82195.2	87335	72739.9	62719.9	77880.7	70877.2	84303.8	69327.3	69966.6	81745.3	64494.6	114448	88914	103840	96591	97974.6
Q8NCN5	Q8NCN5;A8MT40	PDPR_HUMAN	PDPR	Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial	77690.1	112216	139898	71027.2	85541.6	119332	79494.8	79517.9	91439.2	58918.6	103175	85409.3	64139.8	81535.6	39750.2	79982.5	104042	77609.8	59358	64517.3	79190.5	92065.7	79934.8	60184.6	126007	91750.8	91189.5	83010.2	79580.2	78441.6	87973.5
Q8NCP5	Q8NCP5;H0YEM9;H7BY22	ZBT44_HUMAN	ZBTB44	Zinc finger and BTB domain-containing protein 44	4311.84	4575.56	5147.93	2688.83	5052.3	NA	4168.99	5513.34	NA	3308.59	5977.76	NA	3834.12	5801.7	6309.18	3819.27	4434.77	3454.58	4809.03	5262.49	3935.76	3582.47	NA	NA	1807.22	2256.09	7139.8	NA	6035.56	3542.92	6814.45
Q8NCR0	Q8NCR0;A0A6Q8PEZ9;A0A6Q8PG34;A0A6Q8PGQ3	B3GL2_HUMAN	B3GALNT2	UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 2	6145.27	NA	NA	5485.47	3122.66	12641.9	1882.98	NA	12703.3	4296.59	17118.7	7639.2	2766.46	7371.43	4752.45	2365.73	3613.13	2208.83	7474.9	6200.43	5084.72	5291.96	3259.33	3865.26	3066.27	NA	NA	NA	NA	NA	4488.2
Q8NCR9	Q8NCR9	CLRN3_HUMAN	CLRN3	Clarin-3	51131.7	98074.8	24464.6	21950.5	33491.7	20279.6	45776.6	29047	5863.42	37187.3	5665.56	27344.4	54746.2	23737	42701.4	32830.3	37998.7	32687.4	36632.8	35881.7	33880.9	29376.4	34313.3	1882.16	32472.4	35230.3	24527.4	38447.2	41819.5	52659.1	33838.7
Q8NCS4	Q8NCS4	TM35B_HUMAN	TMEM35B	Transmembrane protein 35B	2852.17	5868.51	3884.63	5152.76	9692.51	NA	5252.43	5062.78	NA	6876.57	NA	NA	5801.63	6444.95	NA	6695.78	8234.47	NA	NA	5946.36	NA	NA	NA	6653.61	NA	NA	6681.72	NA	NA	NA	NA
